|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
||2024|60.39|65.2|63.14|58.6|51.81|55.89|58.56|62.22|68.0|94.67|115.51|123.5|
||2025|119.79|98.59|97.93|98.96|82.05|79.92|80.77|90.09|112.15|147.85|103.84|88.05|
||2026|98.44||||||||||||
|01172. (Meyvesi Yenen Sebzeler, Taze Veya Soğutulmuş (Domates, Biber, Salatalık, Kabak Vb.))|2023||||||||||||73.55|
||2024|78.83|92.56|89.97|71.67|60.73|67.56|69.91|66.5|71.76|94.86|133.89|121.64|
||2025|124.53|113.89|142.04|99.68|82.48|80.2|81.91|78.82|90.23|104.83|95.22|106.17|
||2026|160.94||||||||||||
|01173. (Yeşil Baklagil Sebzeleri, Taze Veya Soğutulmuş)|2023||||||||||||67.12|
||2024|72.54|84.12|81.79|92.6|77.04|68.92|89.48|56.83|74.43|76.68|77.27|77.25|
||2025|78.74|72.4|86.99|152.66|95.51|83.8|87.81|102.2|111.55|106.73|107.14|114.48|
||2026|152.36||||||||||||
|01174. (Diğer Sebzeler, Taze Veya Soğutulmuş (Soğan, Sarımsak, Havuç, Mantar, Zeytin Vb.))|2023||||||||||||61.19|
||2024|65.12|74.73|74.55|86.72|83.79|78.55|83.97|79.7|80.41|84.43|88.97|98.55|
||2025|100.52|100.86|108.43|108.32|97.26|94.69|94.77|95.19|96.68|100.91|101.0|101.36|
||2026|104.99||||||||||||
|01175. (Yumrulu Sebzeler)|2023||||||||||||90.48|
||2024|103.19|107.36|99.95|106.25|107.81|99.15|84.36|77.02|74.92|71.51|71.41|78.07|
||2025|77.98|79.44|112.88|130.46|132.99|113.69|95.59|85.65|89.42|87.76|93.82|100.31|
||2026|105.83||||||||||||
|01176. (Kuru Baklagiller)|2023||||||||||||68.46|
||2024|73.71|79.38|81.29|82.22|84.58|84.55|84.7|86.04|86.15|87.2|87.5|89.51|
||2025|90.25|92.24|91.05|93.63|96.48|97.33|98.57|101.98|102.31|108.72|112.58|114.86|
||2026|115.07||||||||||||
|01179. (Konserve Edilmiş Veya İşlenmiş Sebze İçerikli Ürünler (Salça, Turşu, Zeytin Vb.))|2023||||||||||||70.98|
||2024|70.35|74.42|75.49|76.05|75.93|78.28|80.94|82.51|83.86|83.57|85.04|85.24|
||2025|85.41|92.05|90.9|91.07|92.48|94.18|99.08|100.46|109.35|113.38|114.7|116.93|
||2026|119.08||||||||||||
|0118. (Şeker, Şekerlemeler Ve Tatlılar)|2023||||||||||||54.72|
||2024|57.57|60.26|60.86|63.26|67.0|68.76|70.49|74.08|75.92|76.79|80.27|83.54|
||2025|86.09|90.89|91.98|94.97|96.18|98.77|100.56|103.93|107.43|108.7|108.96|111.52|
||2026|115.27||||||||||||
|01181. (Şeker)|2023||||||||||||74.71|
||2024|73.91|74.51|73.84|75.08|79.16|81.77|84.78|86.18|86.98|87.72|88.61|91.08|
||2025|92.3|92.52|94.35|96.96|98.88|99.83|100.55|101.85|105.1|105.8|105.94|105.91|
||2026|106.31||||||||||||
|01183. (Reçel, Meyve Jöleleri, Marmelat, Meyve Püreleri Ve Ezmeleri, Bal)|2023||||||||||||54.23|
||2024|56.47|61.24|61.43|63.03|64.7|64.7|67.88|69.4|72.47|74.04|78.79|80.26|
